,-1_петербург_коронавиру_россия,0_петербург_россия_рассказыва,1_полиция_полицейски_наркотик,2_коронавиру_сутки_человек,3_год_2022_2020,4_белоруссия_ленинградс_область,5_мотоциклис_велосипеди_велосипед,6_парковка_парк_платный,7_театр_спектакль_мариинский,8_qr_код_цифровой,9_маска_носить_медицински,10_кафе_ресторан_кофе,11_apple_iphone_яблоко,12_эстония_голландия_новый,13_учитель_учительниц_математика,14_операция_онлайн_военный,15_психолог_депрессия_психиатр,16_афганистан_мусульмани_азербайджа,17_граффити_художник_закрашиват,18_медведь_пиво_медвежонок,19_мужчина_стрельба_район,20_электричес_электросам_электромоб,21_секунда_60_фонтанка,22_франция_французски_макрон,23_венесуэла_мадуро_сша,24_природопол_экологичес_комитет,25_израиль_израильски_сирия,26_гей_порно_детский,27_интеллект_искусствен_пластическ,28_аниме_сериал_союзмультф,29_зуб_стоматолог_зубной,30_гидрометце_европейски_погода,31_витамин_антибиотик_дефицит,32_микроавтоб_микрофинан_организаци,33_tele2_абонент_лентв24,34_зрение_офтальмоло_глаз,35_импорт_экспорт_параллельн,36_бабушка_внук_внучка,37_коммунист_хакасия_выборы,38_замок_михайловск_башня,39_стихотворе_стих_шнур,40_ситуация_стабилизац_стабилизир,41_бетономеша_бетонный_бетон,42_коррупция_борьба_коррупцион,43_четырехдне_рабочий_неделя,44_интернацио_парк_референдум,45_страховой_страховщик_страховка,46_оповещение_система_проверка,47_треугольни_красный_пожар,48_биометриче_биометрия_данные
2018-01-01,2113.2272727272725,2286.6666666666665,44.0,7.0,11.159090909090907,1.2651515151515116,7.212121212121209,21.36363636363637,11.0,0.0,3.0,3.8939393939393954,4.053030303030303,6.265151515151512,6.159090909090907,30.9469696969697,1.0544747081712056,2.2121212121212093,0.0,4.106060606060605,2.0530303030303023,5.318181818181814,17.265151515151512,3.8939393939393954,2.9469696969696977,0.0,2.9469696969696977,5.734848484848488,0.0,0.0,0.0,0.0,0.0,2.8939393939393954,0.0,0.0,0.0,1.0530303030303023,2.8939393939393954,0.0,3.9633507853403147,0.0,0.0,1.1060606060606046,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,2155.366197183097,2620.9014084507035,43.94366197183103,6.943661971831029,13.830985915493086,6.075117370891962,10.962441314554018,10.206572769952896,11.150234741783924,1.0,2.9812206572770097,2.075117370891962,4.962441314554019,10.924882629108039,8.924882629108039,30.01877934272299,2.0455051972013525,5.924882629108038,3.9436619718310286,6.018779342722991,3.0187793427229903,10.962441314554018,21.96244131455402,2.0563380281689714,2.0,2.0,2.0187793427229903,1.0938967136149527,0.0,1.0,1.037558685445981,0.0,1.0,1.0187793427229905,1.0046948356807477,0.0,0.0,1.9812206572770095,1.0,1.0093896713614952,3.29661037779909,0.0,1.0093896713614956,3.037558685445981,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2271.309859154926,2665.07042253521,41.183098591549374,4.183098591549377,5.549295774648131,9.755868544600832,9.122065727699585,20.328638497652285,18.511737089201663,1.0,2.061032863849792,5.7558685446008315,3.1220657276995842,7.2441314553991685,5.2441314553991685,30.938967136150207,2.9406295098737427,2.244131455399169,1.1830985915493768,6.938967136150207,3.938967136150208,9.122065727699585,20.122065727699585,4.816901408450623,2.0,2.0,2.938967136150208,5.694835680751039,0.0,1.0,2.8779342723004158,0.0,1.0,1.9389671361502079,1.2347417840375576,0.0,0.0,1.0610328638497921,1.0,1.469483568075104,2.694393235503791,0.0,1.4694835680751153,4.877934272300416,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,2166.943661971836,2434.3098591549397,31.42253521126802,5.915492957746396,5.0,2.3380281690144136,34.85915492957635,14.295774647887612,11.338028169014414,3.873239436619595,2.957746478873198,6.0,1.0845070422536034,7.0,6.91549295774649,30.042253521126803,2.042253521126755,5.830985915492793,4.830985915492793,2.211267605634009,2.0845070422536036,7.084507042253604,19.042253521126803,5.0,1.0422535211268018,2.0,3.957746478873198,1.211267605634009,2.5211267605633894,2.9154929577463964,1.0845070422536034,0.0,1.0,2.0,1.4894366197183115,0.0,0.0,1.9577464788731982,1.0,1.978873239436599,2.0276528279625667,1.0,1.978873239436623,3.0845070422535104,0.0,1.0,1.0422535211268018,0.0,0.0,0.0
2018-05-01,2014.7887323943605,2592.915492957753,47.98591549295841,6.943661971831023,12.549295774648183,4.830985915493068,39.77464788732409,14.943661971831023,16.661971830986136,3.056338028168977,3.4718309859154886,8.830985915493068,4.774647887324091,9.830985915493068,8.887323943662052,36.60563380281716,1.0563380281689743,11.661971830986136,4.056338028168977,2.943661971831023,3.8873239436620457,7.0,17.112676056337953,8.774647887324091,2.8873239436620457,1.5281690140845114,11.549295774648183,1.0,2.028169014084511,1.112676056337954,1.9436619718310228,0.0,1.0,1.0563380281689772,1.7359154929577505,0.0,0.0,1.5281690140845114,1.0,2.943661971831023,2.0,1.0,2.471830985915501,1.1126760563379485,0.0,4.774647887324091,1.0,0.0,0.0,0.0
2018-06-01,1915.5305164319223,2325.8169014084424,45.150234741783926,7.0,9.150234741783924,5.962441314554019,29.41314553990579,6.33802816901383,7.3755868544598115,1.075117370891962,3.9812206572770084,8.037558685445982,4.037558685445981,17.69953051643215,3.2253521126758864,34.112676056337946,2.924882629108038,8.150234741783924,5.924882629108038,6.849765258216076,3.037558685445981,10.849765258216076,19.887323943662057,8.037558685445982,2.5187793427229903,1.0187793427229914,8.150234741783924,1.962441314554019,1.5187793427230032,1.0,1.037558685445981,0.0,1.0,1.962441314554019,1.9906103286385046,0.0,0.0,1.0187793427229914,1.0,1.075117370891962,2.0,1.0,2.9812206572770092,1.0,0.0,2.112676056337943,1.0,0.0,0.0,0.0
2018-07-01,2019.164319248828,2563.469483568079,37.41314553990598,17.431924882629268,10.896713615023504,7.896713615023503,23.30985915492949,14.535211267605765,7.948356807511752,1.0,4.948356807511752,7.051643192488248,3.0516431924882483,10.413145539905987,6.793427230047007,31.154929577464745,3.0,4.206572769952993,27.81220657277029,9.845070422535255,4.896713615023503,3.413145539905986,22.845070422535255,7.051643192488248,2.025821596244124,1.0,4.2065727699529925,2.0,1.0258215962441248,1.0,1.0,0.0,1.0,1.0516431924882483,1.5258215962441242,0.0,0.0,3.845070422535255,3.5289514866980043,1.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
2018-08-01,2198.1173708920187,2493.826291079812,36.032863849765256,12.197183098591546,10.032863849765258,10.901408450704228,31.70422535211268,15.967136150234742,9.934272300469484,1.0,3.065727699530515,5.065727699530515,3.0,12.901408450704228,2.1643192488262892,30.032863849765256,3.0,5.934272300469485,11.59154929577464,8.065727699530516,4.032863849765258,6.86854460093897,21.065727699530516,2.1643192488262892,2.0,2.934272300469485,5.934272300469485,5.86854460093897,1.0,1.3223787167449141,1.4835680751173712,1.0,1.0,2.934272300469485,1.0164319248826288,2.6131455399060957,0.0,2.065727699530515,6.245696400625979,1.0,2.0,1.0,1.0657276995305154,1.0,1.527528809218955,2.483568075117371,1.0,0.0,0.0,0.0
2018-09-01,3091.3239436619597,3345.788732394354,59.661971830985586,18.901408450704132,11.971830985915465,33.67605633802785,36.929577464788665,25.85915492957733,16.901408450704132,1.0,3.0,11.90140845070413,18.774647887323724,8.070422535211335,15.80281690140826,30.0,6.943661971830931,6.985915492957733,6.070422535211336,6.0281690140845345,8.929577464788665,10.943661971830931,21.0,4.957746478873198,1.0140845070422673,1.0281690140845343,7.9718309859154655,5.014084507042267,1.0,1.6619718309859108,1.9929577464788664,1.9859154929577327,1.0,1.0281690140845343,1.9859154929577327,2.2056338028168914,1.0,2.0,8.962441314553953,1.0,2.0,1.0,1.0,1.0,2.0832266325224094,2.9929577464788664,1.0,0.0,0.0,0.0
2018-10-01,3394.5774647887242,3524.1830985915444,70.69014084507012,15.112676056338138,13.943661971830931,40.80281690140826,22.42253521126802,21.14084507042267,28.661971830985586,1.0,4.943661971830931,12.0,8.309859154929878,7.0281690140845345,7.253521126760811,30.971830985915467,5.056338028169069,9.915492957746396,5.0281690140845345,4.056338028169069,15.80281690140826,14.887323943661862,20.028169014084533,3.056338028169069,1.9718309859154655,2.943661971830931,6.056338028169069,2.084507042253603,1.9718309859154655,1.9906103286384884,2.0,1.8611670020120745,1.4859154929577327,4.887323943661862,1.6760563380281677,1.8112676056337906,1.0,1.0281690140845345,9.971830985915465,2.943661971830931,2.0,1.0,1.0,2.943661971830931,2.6209987195902684,1.0563380281690689,1.0,1.9718309859154655,0.0,0.0
2018-11-01,3310.8732394366234,3519.0938967136153,81.89671361502302,10.04694835680772,13.009389671361545,40.00938967136155,12.09389671361544,22.98122065727691,16.122065727700072,2.9812206572769124,2.028169014084632,9.028169014084632,17.90610328638456,5.018779342723088,14.92488262910765,31.0,5.0,9.009389671361545,11.934272300469193,4.990610328638456,8.07511737089235,7.075117370892351,7.122065727700072,5.971830985915368,2.495305164319252,3.990610328638456,4.018779342723088,7.943661971830736,1.0093896713615438,2.0,1.669796557120504,1.715627095908788,1.995305164319228,6.485915492957757,1.3364632237871599,1.4037558685445866,1.0,1.0,10.990610328638455,4.981220657276912,2.990610328638456,1.0,1.495305164319252,2.009389671361496,3.1766965428937226,1.0,1.0,2.198122065727695,0.0,0.0
2018-12-01,3287.5399061032854,3559.0375586854475,77.11737089201858,15.859154929577702,24.718309859155404,64.4131455399071,10.046948356807432,32.76525821596284,16.0,4.953051643192568,5.906103286385136,6.070422535211149,6.281690140844594,4.023474178403716,15.0,31.0,2.0704225352111485,1.1877934272297281,5.164319248826013,5.976525821596284,9.953051643192568,4.070422535211149,4.070422535211291,8.929577464788851,2.9882629107981424,2.046948356807432,2.046948356807432,2.140845070422297,1.976525821596284,4.929577464788851,1.3411580594679156,1.5747820254862528,2.0,7.964788732394428,1.0078247261345716,1.0093896713614858,1.32550860719874,1.0,1.2347417840371602,1.093896713614864,2.511737089201882,1.0,1.9882629107981424,1.023474178403715,3.7144686299615812,1.976525821596284,1.0,2.3953051643192453,0.0,0.0
2019-01-01,2994.3802816901325,3233.539906103277,45.150234741783144,19.981220657277106,21.018779342722894,46.089201877933746,8.009389671361447,15.08450704225302,16.995305164319277,3.0093896713614465,4.009389671361447,7.990610328638553,10.976525821596383,8.976525821596383,11.018779342722894,30.004694835680723,2.9953051643192765,8.962441314554214,5.9953051643192765,7.990610328638553,9.004694835680723,4.0,1.0140845070421705,3.02816901408434,43.807511737090344,2.9953051643192765,2.9953051643192765,2.0,2.0,2.01408450704217,1.001564945226908,1.4292421193829665,2.0,4.018779342722893,1.0,2.9906103286385535,1.6651017214397479,1.0,1.0,2.9906103286385535,2.0023474178403617,1.0,1.7511737089201809,2.9906103286385535,4.270166453265036,1.6682316118935745,1.0,2.5990610328638475,0.0,0.0
2019-02-01,3337.4929577464754,3462.4084507042257,63.28169014084534,13.323943661972146,15.056338028169069,31.690140845070122,2.1549295774649395,21.915492957746398,21.112676056338138,6.957746478873198,3.0281690140845345,10.028169014084535,14.985915492957734,8.140845070422673,18.971830985915467,31.94366197183093,6.0,12.90140845070413,14.873239436619595,4.014084507042267,9.0,3.042253521126802,1.0,2.021126760563401,41.774647887323724,3.9859154929577327,2.9929577464788664,8.957746478873199,3.042253521126802,1.0,3.0281690140845345,1.28370221327968,2.0,2.0,1.0,1.9859154929577327,1.9929577464788664,2.0281690140845345,1.0140845070422673,4.943661971830931,2.0,1.0,1.4964788732394332,1.0,4.82586427656849,1.3286384976525776,1.0,2.8028169014084496,0.0,0.0
2019-03-01,3108.3661971830984,3489.093896713615,81.6854460093897,34.48826291079814,18.73708920187794,11.446009389671339,12.27699530516433,16.394366197183093,28.474178403755875,4.197183098591546,4.868544600938969,11.86854460093897,14.065727699530516,17.342723004694847,17.131455399061032,28.26291079812206,6.0,6.460093896713609,6.591549295774641,4.934272300469485,9.0,5.802816901408454,1.0,3.401408450704227,27.05164319248825,3.0657276995305156,2.5328638497652576,6.197183098591546,5.802816901408454,1.0,4.868544600938969,1.152246814218647,2.0,2.0,1.0,1.0657276995305154,1.5328638497652578,3.868544600938969,1.9342723004694844,1.262910798122062,2.0,1.0,1.2664319248826288,1.0,5.327784891165158,1.0219092331768387,1.0,2.9868544600938964,0.0,0.0
2019-04-01,3265.45539906103,3503.389671361502,87.76525821596238,24.5633802816903,16.140845070422575,20.483568075117226,36.82629107981188,32.201877934272076,21.3755868544602,5.90610328638495,7.859154929577425,18.671361502347324,5.422535211267725,18.0,8.422535211267725,4.173708920188123,6.0,5.046948356807525,14.577464788732275,10.71830985915485,13.765258215962376,9.8122065727699,1.0,4.9295774647887125,10.7511737089204,2.046948356807525,2.023474178403762,5.046948356807525,4.09389671361505,1.0,4.046948356807525,1.0067069081153608,2.953051643192475,1.0469483568075248,1.0,1.9530516431924752,1.0234741784037624,2.5704225352112875,3.9061032863849503,1.3812206572769974,2.0,1.0,1.011737089201881,1.9530516431924752,5.883482714468613,1.9530516431924752,1.1906103286384986,3.1906103286384986,0.0,0.0
2019-05-01,3209.211267605636,3778.1784037558605,55.13615023474273,28.69483568075104,25.389671361502078,12.549295774648131,55.840375586853945,26.427230046948544,21.938967136150207,2.244131455399169,2.3661971830987536,19.938967136150207,6.877934272300416,9.549295774648131,18.328638497652285,2.061032863849792,4.122065727699584,7.3474178403755195,8.427230046948544,9.122065727699585,3.671361502347713,9.061032863849793,1.0,4.061032863849793,10.0,4.816901408450623,2.938967136150208,4.061032863849793,4.938967136150207,2.8779342723004158,3.061032863849792,1.0,2.061032863849792,1.9389671361502079,1.0,2.0,1.0,1.0915492957746884,2.1220657276995842,1.7755868544600983,2.0,1.0,1.6259780907668255,1.0610328638497921,6.421254801536471,2.938967136150208,1.3877934272300492,3.387793427230049,3.812206572769955,0.0
2019-06-01,3393.67605633802,3673.4084507042307,77.90140845070316,27.084507042253602,26.957746478873197,19.661971830985586,50.29577464788761,17.380281690141217,23.915492957746398,6.788732394365991,2.957746478873198,19.042253521126803,10.830985915492793,9.0,7.50704225352162,20.197183098590767,2.0845070422536036,9.894366197182997,10.873239436619595,9.957746478873199,11.619718309858785,12.830985915492793,1.0,3.042253521126802,7.1267605633804045,7.8732394366195955,3.957746478873198,3.042253521126802,6.915492957746396,2.042253521126802,2.042253521126802,1.0,1.5211267605633776,2.0,1.0,2.957746478873245,1.0,1.0,1.0422535211268018,2.183098591549302,1.0422535211268018,1.0,2.305164319248841,1.9577464788731982,6.976952624839926,3.0,1.591549295774651,3.591549295774651,3.6084507042253526,0.0
2019-07-01,3742.6619718309994,3720.8450704225374,74.28169014084489,29.83098591549307,29.83098591549307,18.112676056337953,38.67605633802773,32.098591549296366,16.450704225351817,6.056338028168977,1.112676056337954,24.661971830986136,17.60563380281716,10.887323943662047,7.943661971831023,2.1267605633795412,4.830985915493068,6.225352112675909,9.112676056337953,12.830985915493068,9.169014084506932,8.281690140844885,1.0,5.830985915493068,3.225352112675908,4.225352112675909,4.0,3.0,2.2816901408448853,1.0563380281689772,6.718309859155115,1.9436619718310228,1.028169014084487,2.943661971831023,1.4718309859154886,3.943661971831026,1.4718309859154886,4.774647887324091,1.0,2.577464788732403,1.4718309859154886,1.0,2.9624413145540176,1.0563380281689772,7.943661971830977,3.0,1.7887323943662015,3.7887323943662015,3.4112676056338023,0.0
2019-08-01,3467.530516431916,3666.2535211267586,66.30046948356785,19.41314553990579,12.67605633802766,8.375586854459812,58.2112676056344,30.112676056337943,11.187793427229906,1.1877934272299058,3.887323943662057,26.924882629108037,5.488262910797754,13.887323943662057,15.699530516432151,1.0,7.887323943662057,11.774647887324114,7.075117370891962,12.037558685445982,7.075117370891962,10.887323943662057,1.0,6.0,3.0,4.962441314554019,1.1126760563379432,4.924882629108038,2.962441314554019,3.887323943662057,2.1877934272299058,2.4812206572770097,1.0,3.0,1.9812206572770086,1.1126760563379432,1.9812206572770086,5.0,1.962441314554019,2.984976525821607,1.9812206572770086,1.0,3.962441314554019,1.962441314554019,8.962441314554017,3.0,1.9924882629108036,3.9924882629108036,3.2075117370892,0.0
2019-09-01,3545.291079812208,4145.779342723012,79.73708920187813,25.868544600939067,21.812206572770094,24.68075117370916,30.544600938966727,24.112676056337943,30.62441314554019,3.9436619718310286,2.0375586854459806,14.244131455398877,18.737089201878135,19.887323943662057,7.169014084506916,1.0,1.1314553990609335,5.1314553990609335,10.924882629108039,14.943661971831029,9.943661971831029,7.075117370891961,1.0,3.0563380281689714,3.9812206572770097,4.018779342722991,5.906103286385047,3.0375586854459806,3.9812206572770097,4.32707355242567,2.0,2.990610328638505,1.9812206572770097,2.0187793427229903,1.5093896713614952,1.0,1.0187793427229903,2.0563380281689714,2.0,2.67292644757433,3.9624413145540194,1.0,3.5093896713614954,2.0,8.01877934272299,3.0,1.5093896713614952,3.5794768611669903,3.003755868544598,0.0
2019-10-01,3714.3145539906104,3971.244131455399,86.7699530516432,21.16431924882629,35.53990610328639,11.460093896713609,32.901408450704224,24.967136150234744,20.361502347417833,6.901408450704227,10.70422535211268,19.802816901408455,17.065727699530516,7.427230046948351,13.769953051643196,1.0,4.86854460093897,2.098591549295773,9.065727699530516,32.40845070422536,8.065727699530516,8.934272300469484,1.0,4.934272300469485,3.0328638497652576,2.065727699530515,1.1643192488262892,4.934272300469485,5.934272300469485,4.655712050078248,2.9671361502347424,4.934272300469485,2.9671361502347424,8.769953051643196,1.0164319248826288,2.934272300469485,1.0,2.0,1.0328638497652576,2.3442879499217524,5.934272300469485,1.0,3.016431924882629,2.0,6.065727699530515,3.0,1.0164319248826288,3.1569416498993843,2.806572769953048,0.0
2019-11-01,3616.478873239438,3875.2816901408464,88.97183098591546,14.09859154929587,34.02816901408453,9.028169014084535,9.338028169014414,21.05633802816907,22.957746478873197,1.0845070422536036,8.042253521126803,9.154929577464939,15.028169014084535,15.873239436619594,12.028169014084535,1.0,8.943661971830931,4.957746478873198,2.09859154929587,10.323943661972148,8.985915492957734,7.0281690140845345,1.0,5.0,2.0140845070422673,2.9859154929577327,3.957746478873198,1.0563380281690686,3.042253521126802,4.9953051643192445,3.9859154929577327,3.0281690140845345,3.9859154929577327,6.042253521126802,2.9718309859154655,1.0281690140845343,1.0,1.0140845070422673,1.9859154929577327,2.004694835680756,3.042253521126802,1.0,1.0281690140845343,2.0,4.0281690140845345,3.0,1.9859154929577327,2.7203219315895253,2.6028169014084455,0.0
2019-12-01,3670.3943661971816,4095.577464788726,97.74647887323918,14.971830985915465,54.40845070422478,20.661971830985586,5.112676056338138,26.830985915492793,17.169014084507207,1.0,4.112676056338138,15.80281690140826,16.94366197183093,17.94366197183093,15.887323943661862,1.0,11.915492957746396,1.1126760563381377,6.859154929577327,8.056338028169069,9.971830985915465,14.774647887323724,1.0,5.9718309859154655,2.9718309859154655,1.0563380281690689,3.0281690140845345,4.887323943661862,2.0281690140845345,2.084507042253603,5.943661971830931,4.943661971830931,1.0845070422536032,1.1408450704226727,2.5140845070422673,1.0,1.0,2.943661971830931,1.5140845070422673,2.0,2.0281690140845345,1.0,10.718309859154655,5.887323943661862,3.028169014084503,3.0,1.0281690140845345,2.2977867203219198,2.4056338028168955,0.0
2020-01-01,3461.0000000000086,3839.488262910809,69.27230046948478,18.962441314553825,50.04694835680772,11.09389671361544,9.95305164319228,27.990610328638457,10.065727699530807,1.9906103286384562,10.934272300469193,16.990610328638457,9.07511737089235,10.07511737089235,10.056338028169264,1.0,8.037558685446175,6.943661971830736,4.028169014084632,10.971830985915368,3.0657276995308074,5.09389671361544,1.0,2.0375586854461756,3.990610328638456,1.9906103286384562,15.877934272299928,1.0375586854461756,2.0,2.0,3.028169014084632,5.990610328638456,2.9812206572769124,1.9906103286384562,2.004694835680772,3.476525821596261,1.0,3.0,1.004694835680772,2.0,2.330203442879496,1.0,6.542253521126731,3.523474178403739,2.0093896713614794,3.0,1.0,1.8611670020120603,2.2018779342722934,0.0
2020-02-01,3451.0328638497963,4184.572769953036,91.79342723004603,45.32863849765404,31.037558685446175,14.981220657276912,9.04694835680772,39.87793427229993,26.028169014084632,3.018779342723088,26.319248826292494,10.009389671361545,9.009389671361545,12.95305164319228,9.971830985915368,1.0,3.0563380281692636,1.009389671361544,2.0,11.915492957746105,10.985915492957684,3.981220657276912,1.004694835680772,2.990610328638456,1.990610328638456,3.0,1.0062597809076959,2.009389671361544,3.0,1.0375586854461758,2.495305164319252,2.990610328638456,1.0,6.95305164319228,5.028169014084632,5.981220657276912,1.014084507042316,1.0,1.995305164319228,1.495305164319252,2.669796557120504,1.009389671361544,2.0,1.009389671361544,1.0,3.0,1.0,1.4245472837022013,2.0,0.0
2020-03-01,4164.86854460096,3836.708920187783,70.82629107981158,78.68544600939066,34.849765258216074,13.075117370891961,13.812206572770094,27.488262910797754,28.887323943662057,4.924882629108038,58.723004694836646,10.962441314554018,9.962441314554018,8.187793427229906,7.112676056337943,1.0,8.774647887324114,1.962441314554019,2.0,3.33802816901383,9.556338028168971,2.075117370891962,1.4812206572770095,2.037558685445981,1.037558685445981,3.0,1.6416275430360125,2.962441314554019,3.0,4.849765258216076,2.0187793427229916,2.037558685445981,1.0,2.1877934272299058,7.887323943662057,4.075117370891962,2.4436619718310286,1.0,1.5187793427229905,1.0187793427229914,2.9874804381846727,1.962441314554019,2.0,1.962441314554019,1.0,3.0,1.0,1.0160965794768493,2.0,0.0
